qid,model,offload_chars,total_chars,offload_tokens,total_tokens,offload_tokens_per_offload_chars,offload_percentage
0,GPT4o,1694,7601,649,2797,46.357142857142854,22.29
1,GPT4o,2151,7948,536,2802,178.66666666666666,27.06
2,GPT4o,2661,7387,654,2330,654.0,36.02
3,GPT4o,4508,12079,1086,3362,543.0,37.32
4,GPT4o,20755,50830,6046,16003,863.7142857142857,40.83
5,GPT4o,20359,53514,5916,16353,394.4,38.04
6,GPT4o,2222,6133,659,1955,219.66666666666666,36.23
7,GPT4o,1796,6067,590,1907,34.705882352941174,29.60
8,GPT4o,1138,4058,396,1512,79.2,28.04
9,GPT4o,1328,4823,466,1849,77.66666666666667,27.53
10,GPT4o,9997,28348,4045,10348,139.48275862068965,35.27
11,GPT4o,11383,27390,4012,9572,401.2,41.56
12,GPT4o,2222,9725,877,3647,109.625,22.85
13,GPT4o,1773,6931,554,2646,55.4,25.58
14,GPT4o,2332,8405,948,3210,105.33333333333333,27.75
15,GPT4o,2546,11853,923,4225,307.6666666666667,21.48
16,GPT4o,10267,36730,3581,12565,716.2,27.95
17,GPT4o,5054,23599,2018,8501,672.6666666666666,21.42
18,GPT4o,3009,9190,974,3165,974.0,32.74
19,GPT4o,3183,12106,963,3900,321.0,26.29
20,GPT4o,5757,17304,1825,6325,608.3333333333334,33.27
21,GPT4o,5362,17201,1870,2740,935.0,31.17
0,Dpsr1,1755,7601,663,2797,44.2,23.09
1,Dpsr1,1767,7948,594,2802,66.0,22.23
2,Dpsr1,2872,7387,706,2330,353.0,38.88
3,Dpsr1,4866,12079,1166,3362,388.6666666666667,40.28
4,Dpsr1,9438,50830,2497,16003,624.25,18.57
5,Dpsr1,9886,53514,2539,16353,846.3333333333334,18.47
6,Dpsr1,2569,6133,768,1955,128.0,41.89
7,Dpsr1,2067,6067,590,1907,590.0,34.07
8,Dpsr1,1149,4058,391,1512,65.16666666666667,28.31
9,Dpsr1,1208,4823,428,1849,47.55555555555556,25.05
10,Dpsr1,6412,28348,2363,10348,236.3,22.62
11,Dpsr1,7152,27390,2545,9572,509.0,26.11
12,Dpsr1,2698,9725,1024,3647,85.33333333333333,27.74
13,Dpsr1,2000,6931,630,2646,630.0,28.86
14,Dpsr1,2254,8405,899,3210,149.83333333333334,26.82
15,Dpsr1,3002,11853,1125,4225,93.75,25.33
16,Dpsr1,6112,36730,2340,12565,137.64705882352942,16.64
17,Dpsr1,5963,23599,2399,8501,266.55555555555554,25.27
18,Dpsr1,3068,9190,988,3165,988.0,33.38
19,Dpsr1,3162,12106,951,3900,475.5,26.12
20,Dpsr1,5727,17304,1841,6325,263.0,33.10
21,Dpsr1,1982,17201,759,2740,27.107142857142858,11.52