Model,Params (B),Phase,Sequence Length,Tok/sec
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Prefill,1000,28991.35447
DeepSeek-R1-Distill-Qwen-7B,7B,Prefill,1000,7859.375
DeepSeek-R1-Distill-Llama-8B,8B,Prefill,1000,7144.886364
DeepSeek-R1-Distill-Qwen-14B,14B,Prefill,1000,4086.108855
DeepSeek-R1-Distill-Qwen-32B,32B,Prefill,1000,3005.676725
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Prefill,2000,29792.59259
DeepSeek-R1-Distill-Qwen-7B,7B,Prefill,2000,8024.740623
DeepSeek-R1-Distill-Llama-8B,8B,Prefill,2000,7331.38899
DeepSeek-R1-Distill-Qwen-14B,14B,Prefill,2000,4118.369855
DeepSeek-R1-Distill-Qwen-32B,32B,Prefill,2000,3105.311921
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Prefill,3000,27393.27884
DeepSeek-R1-Distill-Qwen-7B,7B,Prefill,3000,7803.363519
DeepSeek-R1-Distill-Llama-8B,8B,Prefill,3000,7493.167702
DeepSeek-R1-Distill-Qwen-14B,14B,Prefill,3000,3964.769291
DeepSeek-R1-Distill-Qwen-32B,32B,Prefill,3000,2997.118156
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Prefill,4000,28721.42857
DeepSeek-R1-Distill-Qwen-7B,7B,Prefill,4000,7774.555298
DeepSeek-R1-Distill-Llama-8B,8B,Prefill,4000,7281.781963
DeepSeek-R1-Distill-Qwen-14B,14B,Prefill,4000,3932.518337
DeepSeek-R1-Distill-Qwen-32B,32B,Prefill,4000,3045.05869
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Decode,1000,149
DeepSeek-R1-Distill-Qwen-7B,7B,Decode,1000,44.1
DeepSeek-R1-Distill-Llama-8B,8B,Decode,1000,42.8
DeepSeek-R1-Distill-Qwen-14B,14B,Decode,1000,23.6
DeepSeek-R1-Distill-Qwen-32B,32B,Decode,1000,16.3
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Decode,2000,148.1
DeepSeek-R1-Distill-Qwen-7B,7B,Decode,2000,43.2
DeepSeek-R1-Distill-Llama-8B,8B,Decode,2000,42.4
DeepSeek-R1-Distill-Qwen-14B,14B,Decode,2000,23.3
DeepSeek-R1-Distill-Qwen-32B,32B,Decode,2000,16.4
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Decode,3000,147
DeepSeek-R1-Distill-Qwen-7B,7B,Decode,3000,43.9
DeepSeek-R1-Distill-Llama-8B,8B,Decode,3000,41.9
DeepSeek-R1-Distill-Qwen-14B,14B,Decode,3000,22.5
DeepSeek-R1-Distill-Qwen-32B,32B,Decode,3000,16.5
DeepSeek-R1-Distill-Qwen-1.5B,1.5B,Decode,4000,144.9
DeepSeek-R1-Distill-Qwen-7B,7B,Decode,4000,43
DeepSeek-R1-Distill-Llama-8B,8B,Decode,4000,41.7
DeepSeek-R1-Distill-Qwen-14B,14B,Decode,4000,22
DeepSeek-R1-Distill-Qwen-32B,32B,Decode,4000,16.4